ID,left-hand context (one sentence),SENTENCE,right-hand context (one sentence),SOURCE,PET,PET_LEMMATIZED,LITERAL_TRANSLATION,NON_EUPH_EQUIVALENT,NON_EUPH_EQUIVALENT_TRANSLATION,CATEGORY,LABEL,A,J,U,W,EUPH_STATUS
1084,"I cóż go to aktualnie obchodziło, jako Zubow, od tego pamiętnego wieczora, nie pokazał się już w pałacu, jako Cycjanow powrócił znowu do łask, jako zaczął się plątać koło niej i zabiegać o względy królewski przyjaciel, kawaler Littlepage, piękny Amerykanin i persona wielce tajemnicza.","Dalekim się poczuł od tych miałkich zgryzot amorów, turbacji a zabiegów o kochanki lubej spojrzenia i względy łaskawsze, więc tym żarliwiej dał się jarzmu obowiązków i wytężonej pracy, a było jej tyle i tak brzemiennej następstwami a zarazem niebezpiecznej, że zdawał się w miarę przeszkód olbrzymieć i udziesięciokrotniać w siły i przebiegłe męstwo.",-,NKJP300,amorów,amor,courtship?,-,-,sex,1.0,1,1,1,1,sometimes_euph
1085,"(...) często i niekiedy intensywnie używana, choćby użytkownik nie ruszał się zza biurka.","Jeśli zaś swe podróże zrealizuje w terenie, to mapa stanie się zapisem zmysłowego doświadczenia, wejdą w nią na stałe: trud mięśni na rowerowym podjeździe, specyficzne, angażujące całe ciało doznanie pokonywanych szybko samochodem serpentyn, krajobrazy widziane w deszczu lub w słońcu, dźwięk cykad (...).",-,KWJP,wejdą w nią,wejść w nią,enter her,-,-,sex,0.0,0,0,0,0,sometimes_euph
1086,"(...) co było mi kompletnie obojętne, resztkę świadomości skupiłam na tym, żeby nie zgubić rytmu, jeszcze tylko przez chwilę.","Wydawało mi się, że on już doszedł, krzyczał z rozkoszy albo z bólu pod moimi paznokciami, wstrząsały nim pode mną i we mnie spazmy, ale nie dbałam o to, nie miałam (...).",-,KWJP,doszedł,dojść,to come,osiągnąć orgazm,to orgasm,sex,1.0,1,1,1,1,sometimes_euph
1087,„Inność” Żyda i homoseksualisty miała zatem polegać na podkopy waniu twardej męskiej normy stanowiącej oś nacjonalistycznej – a nieco później nazistowskiej – wyobraźni.,"Chodziło o męskość, więc lesbijkami w ogóle się nie zajmowano.",-,NKJP300,męskość,męskość,masculinity,-,-,sex,0.0,0,0,0,0,sometimes_euph
1088,"Powiedzmy, że jako bonus.","Podsumowując, dałam wam jak na tacy kosmitów: – nieoczywistych, spadających z nieba, kamiennych; – Szarych terrorystów pragnących ludzkiego ciała i łasice, prawdziwe pasożyty, które dojrzewają w człowieku, a potem (...).",-,KWJP,dałam wam jak na tacy,dać wam jak na tacy,to give someone something as if on a silver tray,-,-,money,0.0,0,0,0,0,sometimes_euph
1089,W związku z tym w kontekście podziału światowego obraz pracy w Polsce był mizerny.,"Status szlachty był chroniony prawem, chłopi żyli bez pieniędzy, przywiązani do miejsca w przestrzeni i uzależnieni od opieki feudalnej (brak społecznej mobilności wertykalnej i horyzontalnej), mieszczanie byli pozbawieni możliwości prowadzenia żywego handlu, dającego wzrost (...).",-,KWJP,bez pieniędzy,bez pieniędzy,without money,w biedzie,in poverty,money,0.0,0,0,1,0,sometimes_euph
1090,"(...) nie została jednak zaakceptowana przez spółkę PKP Polskie Linie Kolejowe – przygotowała ona własne zestawienie, składające się w całości z pociągów InterRegio.","„Nie będziemy mieli z czego uregulować długu wobec PKP PLK, jeżeli będą wstrzymane pociągi InterRegio, bo to właśnie one są najbardziej dochodowe” – alarmowała Małgorzata Kuczewska-Łaska z zarządu Przewozów Regionalnych.",-,KWJP,uregulować,uregulować,to regulate,zapłacić,to pay,money,1.0,1,1,1,1,sometimes_euph
1091,(...) darmowych porad prawnych dotyczących konieczności wywalczenia czegoś w urzędzie bądź w sądzie.,"Chodzi więc nie tylko o zbliżające się eksmisje, ale również o problemy z zadłużeniem, z uregulowaniem statusu prawnego mieszkania, ze złożeniem wniosku o nowy lokal socjalny czy komunalny i spełnieniem wszystkich kryteriów, czasem także o próby wyjścia z bezdomności, poradzenie sobie z problemami (...).",-,KWJP,uregulowaniem,uregulować,to regulate,-,-,money,0.0,0,0,0,0,sometimes_euph
1092,-,"(...) jego brzuchu rosły warstwy zapomnianych historii, sprawy do załatwienia, rzeczy do obejrzenia i dotknięcia: guziki, rozsypane sznury paciorków, bilety na pamiątkę, puste zapalniczki, grosze, kolczyki bez sztyftów, zielone banknoty z generałem, flakoniki po olejkach, pół obcinacza do paznokci ze złotą rybką zatopioną w zielonej emalii, tekturka z zatartym arabskim (...).",-,KWJP,grosze,grosz,penny,-,-,money,0.0,0,0,0,0,sometimes_euph
1093,"Tylko fakty, konkretne działania, żadnych wrażeń!","Krusząc miał, zapisuje pod kreską, jeden pod drugim, wypowiadane ze złością czasowniki: – Uprowadzacie… Porywacie… Wykorzystujecie… Przetrzymujecie… Odbieracie życie… Aranżujecie śmierć…",-,KWJP,pod kreską,pod kreską,under the line,-,-,money,0.0,0,0,0,0,sometimes_euph
1094,"Tusk pojechał do Grecji w ramach podróży po krajach, które najbardziej zmagają się ze skutkami kryzysu emigracyjnego.","Jeszcze dziś ma udać się do Turcji, skąd przez Morze Śródziemne do Grecji przedostało się milion imigrantów - mimo tureckich deklaracji o uszczelnieniu granic.",-,refugee crisis,uszczelnieniu,uszczelnić,to seal,zastosować bardziej restrykcyjne metody zapobiegania imigracji uchodźców i osób ubiegających się o azyl,to strenghten the existing measures against the arrival of refugees and asylum seekers,immigration,1.0,1,1,1,1,always_euph
1095,Odesłano ich na Ukrainę.,"Jeśli ponownie nielegalnie przekroczą granicę, trafią za kratki.",-,refugee crisis,za kratki,za kratki,behind bars,więzienie,jail,immigration,1.0,1,1,1,1,always_euph
1096,"Jesienią 2016 r. kraje V4 zaproponowały koncepcję elastycznej albo skutecznej solidarności, zakładającą, że kraje członkowskie same - na podstawie swojego potencjału i doświadczenia - decydowały by o tym, w jakiej formie będą uczestniczyć w polityce migracyjnej UE i rozwiązywaniu kryzysu uchodźczego.",Udział w programach dystrybucji uchodźców powinien być dobrowolny.,-,refugee crisis,dystrybucji,dystrybucja,distribution,"zmuszanie uchodźców, azylantów, imigrantów do osiedlenia się w danym kraju","forcing refugees, asylum seekers, or immigrants to settle in a given country",immigration,1.0,0,1,1,1,sometimes_euph
1097,"(...) że 37-latek, który najprawdopodobniej jako pierwszy zaatakował mężczyznę usłyszał już zarzuty dotyczące udziału w pobiciu w związku z przynależnością narodową i wyznaniową, spowodowania obrażeń ciała i naruszenia czynności narządów na czas powyżej 7 dni oraz znieważania za co grozi mu do 5 lat więzienia.","Podczas przesłuchania 37-latek przyznał się do zarzutów, stwierdził że nie odczuwa niechęci do osób innych narodowości i wyznań, a jego agresywne zachowanie było konsekwencją tego, że znajdował się pod silnym wpływem alkoholu - poinformował Kopania.",-,refugee crisis,niechęci,niechęć,aversion,ksenofobia,xenophobia,immigration,1.0,1,1,1,1,always_euph
1098,"(...) w Grecji czy Włoszech, odparł: ""Nie, naszym zdaniem humanitarne jest to, aby przede wszystkim pomagać im na miejscu i nie dopuszczać do tego, żeby te osoby wsiadały na pontony, wsiadały na łódki i topiły się w Morzu Śródziemnym, bo relokacja wcale nie zatrzyma tego procesu"".","Bochenek przekonywał, że masowa relokacja - która jest dzisiaj proponowana przez KE - ""zagraża"" państwom członkowskim UE, m.in. ich bezpieczeństwu.",-,refugee crisis,relokacja,relokacja,relocation,"zmuszanie uchodźców, azylantów, imigrantów do osiedlenia się w danym kraju","forcing refugees, asylum seekers, or immigrants to settle in a given country",immigration,0.5,0,0,1,1,sometimes_euph
1099,Palant! – jeszcze raz przekląłem Wronka w myślach.,Położyłem się na ziemi i wyciągnąłem nogi.,Słońce ogrzewało twarz i osuszało stopy.,NKJP300,wyciągnąłem nogi,wyciągnąć nogi,to stretch out one's legs,-,-,death,0.0,0,0,0,0,sometimes_euph
1100,"Prowadzi do niego droga równoległa do brzegu, lekko pod górę, podczas której mija się odrapane osiedle niskich białych bloków, niemiecki supermarket i spadzistą łąkę, na której pasie się koń.","Wśród koniczyn, mew i Manueli, Alfonsów, Beniciów, Dolores, Francisców, Antoniów, długowiecznych ludzi, którzy dożyli osiemdziesięciu siedmiu, dziewięćdziesięciu czterech albo pięciu lat, spoczęli na nim ci, których niebieskie litery na białych tablicach przedstawiają jako Inmigrante de Marruecos – imigrantów z Maroka.",-,KWJP,Alfonsów,Alfonso,Alfonso,-,-,sex,0.0,0,0,0,0,sometimes_euph
1101,"Czy to znaczy, że mamy rozumieć antyszczepionkowców i innych miłośników konspiracji?","Że zamiast uważać ich za ciołków, mamy ich usprawiedliwiać, bo natura, bo ewolucja?",Nie do końca.,KWJP,ciołków,ciołek,bull calf,-,-,vice,1.0,1,X,1,1,always_euph
1102,"Wiara, której domaga się Jezus, jest czymś nowym i zakłada już nadzwyczajną godność Jego osoby.","Żaden inny nauczyciel, uzdrowiciel czy egzorcysta nie mógł się czegoś podobnego domagać, natychmiast bowiem zostałby zdemaskowany jako oszust, wyśmiany jako kuglarz.","Wiara mogła odnosić się co najwyżej do Boga, ale w żadnym razie nie do człowieka.",KWJP,kuglarz,kuglarz,traveling illusionist artist,oszust,deciever,vice,1.0,1,X,1,1,always_euph
1103,Zarobię na tym kupę kasy.,"Źle bym się czuła, wiedząc, że z premedytacją kogoś naciągnęłam","I tak nieładnie się zachowałam, dając mu nadzieję na ślub…",KWJP,naciągnęłam,naciągnąć,put on hastily,wyłudzić,cheat out of,vice,1.0,1,X,1,1,sometimes_euph
1104,"Niezależnie od tego, w gazecie, Duda jest ""przyjaznym Niemcom eurosceptykiem"".","Z kolei berliński ""Der Tagesspiegel"" określa polskiego prezydenta jako ""trudnego gościa"".","Komentator gazety Christoph von Marschall pisze, że obie strony zabiegały podczas wizyty o współpracę, ""pomimo istniejących różnic"".",KWJP,trudnego gościa,trudny gość,tough guest,"osoba rozrabiająca, chamska",rude troublemaker,vice,1.0,1,X,1,1,always_euph
1105,"Poziomki kwitną zwykle między kwietniem a czerwcem, chwilę później pojawiają się owoce, lekko wydłużone, ale drobne i kuliste.","Wysypane z dzbana czy słoika, toczą się po stole każda w swoją stronę.","Nie obracają się wokół własnej osi i nie zmieniają nagle raz obranego kierunku, jak to bywa z owocami o mniej regularnych kształtach.",KWJP,dzbana,dzban,jug,-,-,vice,0.0,0,X,0,0,sometimes_euph
1106,"Nie lubiłem czyszczenia sierści, bo to tak, jakby wycierać komuś tyłek.","Wolałem naładować siana do żłobu, uwalić się w nie i poleżeć.","Na oborze zimnica jak cholera, więc posuwać na okrętę ze szczotą i robić bydlaki na błysk wcale mi się nie chciało.",KWJP,żłobu,żłób,crib,-,-,vice,0.0,0,X,0,0,sometimes_euph
1107,"Krajobraz zgoła inny niż w Kamumbuni czy Mukuni, choć jesteśmy w tym samym regionie.","Wokół nas plantacja bananowców, dalej papaje i arbuzy.",Gdzieś z tyłu widać kilka osób pracujących w polu.,KWJP,abuzy,arbuz,watermelon,-,-,body parts,0.0,0,X,0,0,sometimes_euph
1108,– Zgadza się kolego.,"Włamywacz, Herman, barani łbie.","Wyklepała wszystko, bo ją długo namawiał.",KWJP,barani łbie,barani łeb,sheep's head,głupiec,fool,vice,1.0,0,X,1,1,always_euph
1109,"Nie miał pojęcia, że atakuje swego!","Wierzchowiec runął bez życia, wyrzucając Magnusa z siodła niczym kamień z procy.","Mocarny człek upadł z hukiem, a od tamtego dnia już zawsze będą pobolewały go plecy…",KWJP,bez życia,bez życia,lifeless,-,-,vice,1.0,1,X,1,1,sometimes_euph
1110,"Proces aktywizacji zawodowej przynosił zamierzone efekty, choć oczywiście nie wszyscy podjęli pracę zarobkową.",Wielu osiedleńców było w złym stanie zdrowia i wymagało raczej opieki lekarskiej.,"W marcu 1946 roku środki zagraniczne umożliwiły reaktywowanie Towarzystwa Ochrony Zdrowia Ludności Żydowskiej (TOZ), mającego silne tradycje z lat przedwojennych.",KWJP,złym stanie zdrowia,zły stan zdrowia,poor state of health,,,vice,1.0,1,X,1,1,always_euph
1111,Podstawą bardziej tradycyjnej kuchni islandzkiej są baranina i ryby,"Według szacunków na lodowej wyspie żyje cztery razy więcej owiec niż ludzi żywiących się takimi smakołykami, jak marynowany barani łeb, wędzone jądra, gotowane w żołądkach podroby czy nawet baranie oczy.","Mięso owiec, pasących się cały rok na bogatych w zioła łąkach, jest tu wyjątkowo smaczne.",KWJP,barani łeb,barani łeb,sheep's head,-,-,vice,0.0,0,X,0,0,sometimes_euph
1112,Sam wiesz.,Wacek pokiwał głową.,"O chorobach akurat dużo wiedział, cztery razy robili mu punkcję na kręgosłup i teraz ledwie nogami włóczy.",KWJP,wacek,wacek,Waclaw,-,-,body parts,0.0,0,X,0,0,sometimes_euph
1113,Pracownikom Klemens nakazał mówić do Mery „szefowo”,W swoim starym rodzinnym mieszkaniu Maryśka przestała być utrapieniem – nieuczącym się tłumokiem.,Nawet ojciec zaczął nieudolnie nazywać ją Mechrrry i okazywał jej więcej szacunku.,KWJP,tłumokiem,tłumok,large shapeless package,głupiec,fool,vice,1.0,1,X,1,1,always_euph
1114,"Prozaik Josef Okrutny w tekście pt. Unter wajte himlen [Pod dalekim niebem] przybliża historię polskiego Żyda Jechiela, który podczas wojny znalazł się w Kirgizji, gdzie z bezdomności, skrajnej nędzy i głodu wyrwała go rodzina starego Kirgiza Achmedżana: Jechiela często nękał głód – dokuczliwy, dojmujący głód chleba.","W obcym kraju, w ciężkich czasach, chcąc ukoić krzyczące wnętrzności, błąkał się po podmiejskich polach, zrywał kłosy i mełł zębami pełne ziarna; surowe głąby kapusty i kukurydzy także były pokarmem dla jego kiszek.",[…] Jechiel rzeczywiście miał szczęście.,KWJP,głąby,głąb,stump,-,-,vice,0.0,0,X,0,0,sometimes_euph
1115,W lutym 1959 roku próbował zatrzymać przekazywanie prywatnej własności chłopów do komun bez rekompensaty i skrytykował równe wynagradzanie słabych i dobrych brygad roboczych.,"W następnych miesiącach zachęcał prowincjonalnych sekretarzy do umiarkowania i skarcił tych, którzy twierdzili, że chłopi ukrywają ryż.","Wczesną wiosną, podczas narady z gospodarczym planistą Chen Yunem, ekonomistą o umiarkowanych poglądach, zgodził się, żeby rozwiązać wielkie komuny, zlikwidować stołówki, przywrócić prywatne działki chłopskie oraz zmniejszyć cele produkcji stali.",KWJP,ukrywają,ukrywać,hide,-,-,vice,0.0,0,X,0,0,sometimes_euph
1116,Oczywiście zapora nie zawali się od razu i woda nie zaleje miasteczka.,"W którymś momencie burmistrz wyjmie rękę z portek, poderwie z fotela swój tłusty zad i spróbuje wdrożyć jakiś plan awaryjny.","Ale nawet gdyby wezwał wojsko i zamówił modlitwę u samego papieża, mógłby jedynie odwlec katastrofę.",KWJP,zad,zad,rump,dupa,butt,body parts,1.0,1,X,1,1,always_euph
1117,"Rodzi się pytanie, może niestosowne w epoce feminizmu, co pomogło biednym mężczyznom stanąć na dwóch nogach?","W każdym razie autorka książki „Piersi"" zmierza do konkluzji, że przywołane w tytule kobiece atrybuty „ułatwiły człowiekowi podbój świata"", a na przykład z mniej ważnych spraw, proponując niemowlętom ssanie, wymusiły rozwój warg i tym samym wpłynęły na rozwój aparatu mowy, nie mówiąc już o tym, że „wyszkoliły człowieka w sztuce całowania"".",Od Afrodyty do Madonny.,KWJP,kobiece atrybuty,kobiecy atrybut,feminine attribute,piersi,breasts,body parts,1.0,1,X,1,1,sometimes_euph
1118,"Pierwszy dowód na to, że wirusom bliżej jednak do świata żywych, przedstawili Jean-Michel Claverie i jego współpracownicy z Université d’Aix-Marseille.","W 2003 r. naukowcy opisali żerującego na amebach wirusa, który jest tak duży, że można go zobaczyć pod mikroskopem optycznym.","Co prawda był on znany już w 1992 r., ale właśnie ze względu na swoje rozmiary został pomylony z... bakterią.",KWJP,amebach,ameba,amoeba,-,-,vice,0.0,0,X,0,0,sometimes_euph
1119,– A z czego bym żonę wykarmił i dzieci wysłał na studia do Stanów?,"Uśmiecha się, oczywiście nie mam pojęcia, czy ściemnia, czy nie, ale po chwili poważnieje.",– Nie każde miejsce płaci.,KWJP,ściemnia,ściemniać,dim,kłamać,lie,vice,1.0,1,X,1,1,sometimes_euph
1120,"Gniade, kare, z paradnymi szablami w srebrnych pochwach zatkniętymi pod skórzane siodła.","Uderzyła mnie nie tylko ich uroda, ale też ich dziecięca niewinność.","Były dziecięco piękne, swobodne.",KWJP,uroda,uroda,beauty,-,-,body parts,0.0,0,X,0,0,sometimes_euph
1121,W ciągu kilkunastu minut przy ul. Rataja spłonęła stodoła i obora.,Udało się wyprowadzić w pole zwierzęta.,"Niestety, spłonęły zgromadzone w stodole zbiory.",KWJP,wyprowadzić w pole,wyprowadzić w pole,lead out into the field,-,-,vice,0.0,0,X,0,0,sometimes_euph
1122,"Gdy Anodina wygłaszała swoje tezy, a media na świecie publikowały tytuły w rodzaju „Pijany polski generał rozbił samolot z prezydentem"", premier Donald Tusk bawił w Dolomitach na nartach i – jak wyjaśniał tuż przed publikacją raportu Paweł Graś – nie widział powodu, aby przerywać wypoczynek.","Uczynił to pod naciskiem opinii publicznej, aby pojawić się w Warszawie i wygłosić wyjątkowo mdłe i nic niewnoszące oświadczenie, mimo że raport był dla niego ewidentnym upokorzeniem.","Nie uwzględniał w najmniejszym stopniu 148 stron polskich uwag, zgłoszonych do rosyjskich ustaleń.",KWJP,mdłe,mdły,bland,nudny,boring,vice,1.0,1,X,1,1,sometimes_euph
